source_text,plagiarized_text,label
The Great Wall of China was built to protect against invasions. Variation 1.,China's Great Wall was constructed to defend against invasions. Alternative 1.,1
Photosynthesis is the process by which green plants produce their own food using sunlight. Variation 1.,Green plants use sunlight to create their food through photosynthesis. Alternative 1.,1
"Shakespeare wrote many famous plays, including Hamlet and Othello. Variation 1.",Among Shakespeare's well-known works are Othello and Hamlet. Alternative 1.,1
Albert Einstein developed the theory of relativity. Variation 1.,The theory of relativity was formulated by Albert Einstein. Alternative 1.,1
The Pacific Ocean is the largest ocean on Earth. Variation 1.,Earth's biggest ocean is the Pacific. Alternative 1.,1
Electricity is essential for modern life. Variation 1.,"In today's world, electricity is a necessity. Alternative 1.",1
Mount Everest is the highest mountain in the world. Variation 1.,The tallest mountain on the planet is Mount Everest. Alternative 1.,1
Gravity is the force that pulls objects toward the center of the Earth. Variation 1.,Objects are pulled toward Earth's center due to gravity. Alternative 1.,1
Isaac Newton formulated the laws of motion and universal gravitation. Variation 1.,The principles of motion and gravity were established by Newton. Alternative 1.,1
Leonardo da Vinci painted the Mona Lisa. Variation 1.,The Mona Lisa was painted by Leonardo da Vinci. Alternative 1.,1
The Eiffel Tower is a famous landmark in Paris. Variation 1.,Paris is home to the well-known Eiffel Tower. Alternative 1.,1
"The speed of light in a vacuum is approximately 299,792 kilometers per second. Variation 1.","In a vacuum, light travels at roughly 299,792 km per second. Alternative 1.",1
The Amazon Rainforest is known for its vast biodiversity. Variation 1.,The Amazon is famous for its rich variety of species. Alternative 1.,1
Thomas Edison invented the phonograph. Variation 1.,The phonograph was invented by Thomas Edison. Alternative 1.,1
Bananas are rich in potassium and provide a quick source of energy. Variation 1.,A good source of potassium and energy is found in bananas. Alternative 1.,1
A day on Mars lasts approximately 24.6 hours. Variation 1.,Mars has a day length of about 24.6 hours. Alternative 1.,1
"The first manned moon landing was in 1969, conducted by NASA. Variation 1.",NASA's 1969 mission marked the first human landing on the moon. Alternative 1.,1
The Pyramids of Giza are one of the Seven Wonders of the Ancient World. Variation 1.,One of the ancient Seven Wonders includes the Giza Pyramids. Alternative 1.,1
A solar eclipse occurs when the Moon passes between the Earth and the Sun. Variation 1.,"When the Moon blocks the Sun from Earth, a solar eclipse happens. Alternative 1.",1
The Statue of Liberty was a gift from France to the United States. Variation 1.,France presented the U.S. with the Statue of Liberty as a gift. Alternative 1.,1
The Sahara Desert is the largest hot desert in the world. Variation 1.,The biggest hot desert on Earth is the Sahara. Alternative 1.,1
The human body has 206 bones. Variation 1.,There are 206 bones in the human skeletal system. Alternative 1.,1
William Shakespeare was an English playwright and poet. Variation 1.,"Shakespeare, the English poet and playwright, was renowned worldwide. Alternative 1.",1
The Wright brothers built and flew the first successful airplane. Variation 1.,The first powered flight was achieved by the Wright brothers. Alternative 1.,1
The capital of Japan is Tokyo. Variation 1.,Tokyo is the capital city of Japan. Alternative 1.,0
Water boils at 100 degrees Celsius under standard atmospheric pressure. Variation 1.,"At standard pressure, water reaches its boiling point at 100°C. Alternative 1.",0
The internet has revolutionized global communication. Variation 1.,The way people communicate globally has changed due to the internet. Alternative 1.,0
The human brain controls all bodily functions. Variation 1.,Bodily functions are regulated by the human brain. Alternative 1.,0
Gold is a highly valuable and conductive metal. Variation 1.,A highly conductive and valuable metal is gold. Alternative 1.,0
Renewable energy sources help reduce carbon emissions. Variation 1.,Using renewable sources lowers carbon footprints. Alternative 1.,0
Mathematics is the foundation of many scientific disciplines. Variation 1.,Many sciences are based on mathematics. Alternative 1.,0
Healthy eating and regular exercise contribute to overall well-being. Variation 1.,Maintaining health involves diet and exercise. Alternative 1.,0
Jupiter is the largest planet in our solar system. Variation 1.,The biggest planet in the solar system is Jupiter. Alternative 1.,0
"A balanced diet includes proteins, carbohydrates, and healthy fats. Variation 1.","Proteins, carbs, and fats make up a balanced diet. Alternative 1.",0
